  52
        52          T 
    513.53           7
     0.000    747.27000     55.00000
     0.930    743.20628     29.00000
     7.190    743.18628     34.00000
    12.590    743.16628     29.00000
    18.080    743.14628     29.00000
    18.910    743.14628     55.00000
    20.070    747.28000     55.00000
        51          T 
    495.53           7
     0.000    746.59000     55.00000
     0.940    742.68093     29.00000
     7.200    742.67093     34.00000
    12.600    742.65093     29.00000
    13.160    742.64093     29.00000
    18.940    742.64093     55.00000
    20.040    746.60000     55.00000
        50          T 
    474.53           7
     0.000    745.80000     55.00000
     0.950    742.45280     29.00000
     7.210    742.44280     34.00000
     7.430    742.43280     34.00000
    12.620    742.43280     29.00000
    18.980    742.43280     55.00000
    20.020    745.81000     55.00000
        49          T 
    453.53           7
     0.000    745.01000     55.00000
     0.960    742.24724     29.00000
     1.690    742.23724     29.00000
     8.420    742.23724     34.00000
    11.420    742.23724     29.00000
    19.020    742.23724     55.00000
    19.990    745.02000     55.00000
        48          T 
    452.03           7
     0.000    744.95000     55.00000
     0.960    742.21263     29.00000
     1.280    742.21263     29.00000
     8.420    742.21263     34.00000
    11.420    742.21263     29.00000
    19.020    742.21263     55.00000
    19.990    744.96000     55.00000
        47          T 
    450.86           6
     0.000    744.91000     55.00000
     0.960    742.20599     29.00000
     8.420    742.20599     34.00000
    11.420    742.20599     29.00000
    19.020    742.20599     55.00000
    19.990    744.92000     55.00000
        46          F 
    449.85           8
     0.000    744.91000     55.00000
     0.960    742.20000     55.00000
     8.420    742.20000     55.00000
     8.940    742.20000     55.00000
    10.900    742.20000     55.00000
    11.420    742.20000     55.00000
    19.020    742.20000     55.00000
    19.990    744.92000     55.00000
        52          T 
    448.33           7
     0.000    744.86000     26.96854
     0.970    740.59183     26.96854
     1.340    740.59183     26.96854
     5.420    740.59183     26.96854
    10.830    740.59183     26.96854
    19.020    740.59183     26.96854
    19.990    744.87000     26.96854
        51          T 
    446.83           7
     0.000    744.81000     55.00000
     0.970    740.34672     29.00000
     1.720    740.34672     29.00000
     5.420    740.34672     34.00000
    10.830    740.34672     29.00000
    19.020    740.34672     55.00000
    20.000    744.82000     55.00000
        50          T 
    427.33           7
     0.000    744.18000     55.00000
     1.050    740.31171     29.00000
     6.620    740.29171     29.00000
     7.190    740.29171     34.00000
    12.590    740.29171     29.00000
    19.030    740.29171     55.00000
    20.060    744.20000     55.00000
        49          T 
    404.83           7
     0.000    743.46000     55.00000
     1.140    740.07512     29.00000
     5.370    740.05512     34.00000
    12.290    740.04512     34.00000
    16.120    740.04512     29.00000
    19.050    740.04512     55.00000
    20.130    743.48000     55.00000
        48          T 
    380.83           7
     0.000    742.68000     55.00000
     1.240    739.71116     29.00000
     5.350    739.69116     34.00000
    16.040    739.67116     29.00000
    18.330    739.65116     29.00000
    19.060    739.65116     55.00000
    20.200    742.71000     55.00000
        47          T 
    379.33           7
     0.000    742.64000     55.00000
     1.240    739.72451     29.00000
     5.350    739.70451     34.00000
    16.040    739.68451     29.00000
    18.700    739.67451     29.00000
    19.060    739.67451     55.00000
    20.210    742.67000     55.00000
        46          T 
    377.91           6
     0.000    742.59000     55.00000
     1.250    739.77109     35.00000
     5.720    739.75109     34.00000
    16.030    739.73109     35.00000
    19.060    739.71109     55.00000
    20.210    742.62000     55.00000
        45          F 
    377.10           4
     0.000    742.59000     55.00000
     1.250    739.74000     55.00000
    19.060    739.68000     55.00000
    20.210    742.62000     55.00000
        52          T 
    373.60           7
     0.000    742.55000     28.71566
     1.250    738.58492     28.71566
     3.560    738.52492     28.71566
    12.470    738.52492     28.71566
    18.680    738.52492     28.71566
    19.060    738.52492     28.71566
    20.210    742.57000     28.71566
        51          T 
    372.10           7
     0.000    742.50000     55.00000
     1.240    738.37370     35.00000
     3.560    738.34370     34.00000
    12.470    738.32370     29.00000
    18.310    738.31370     29.00000
    19.060    738.31370     55.00000
    20.210    742.53000     55.00000
        50          T 
    355.60           7
     0.000    742.01000     55.00000
     1.210    738.28780     35.00000
     1.780    738.27780     34.00000
     8.910    738.26780     29.00000
    14.180    738.25780     29.00000
    19.030    738.23780     55.00000
    20.190    742.03000     55.00000
        49          T 
    330.10           7
     0.000    741.24000     55.00000
     1.160    737.94802     35.00000
     1.780    737.94802     34.00000
     7.810    737.92802     34.00000
     8.920    737.92802     29.00000
    19.000    737.92802     55.00000
    20.150    741.25000     55.00000
        48          T 
    306.10           6
     0.000    740.52000     55.00000
     1.120    737.30607     34.00000
     1.810    737.29607     34.00000
    12.490    737.29607     29.00000
    18.960    737.29607     55.00000
    20.120    740.52000     55.00000
        47          T 
    304.60           6
     0.000    740.48000     55.00000
     1.110    737.33512     34.00000
     1.440    737.33512     34.00000
    14.280    737.33512     29.00000
    18.960    737.33512     55.00000
    20.120    740.47000     55.00000
        46          T 
    303.30           5
     0.000    740.44000     55.00000
     1.110    737.35101     34.00000
    16.070    737.35101     29.00000
    18.960    737.35101     55.00000
    20.120    740.43000     55.00000
        45          F 
    302.49           4
